error_00,error_01,error_02,error_03,error_04,error_05,error_06,error_07,mean_absolute_error,iterations,learning_rate
0.04921285410230436,-0.9501176612692146,0.0485236000626561,0.05187518369698707,0.05100975369912808,0.05068242775144138,0.0493564868178924,0.04902309018162421,0.16247513219765602,2000,0.08
0.04535152628548633,-0.9617268229161026,0.05055593265947855,0.04405406168588821,0.03967267115457673,0.04047146655536382,0.03754681353595457,0.03820828219031014,0.15719844712289516,2000,0.08
0.06357649894087214,-0.9026368551006411,0.04520621654801682,0.07149652533843265,0.1028698587483371,0.08465030427151166,0.10755881994609429,0.0911730087552246,0.18364601095614125,2000,0.08
0.04961714408132012,-0.9081897608597198,0.02925904554131853,0.06665616079619308,0.10429003499301981,0.07919948381404607,0.1040694765110336,0.08020742913852297,0.17768606696689676,2000,0.08
0.055325698215487384,-0.920712347815226,-0.9205486790100413,0.07223676503471133,0.08854273486624686,0.07747519226507427,0.07935998164170888,0.07021203717007307,0.28555167950232113,2000,0.08
0.05706141878868609,-0.9068879145877907,-0.9049020556751969,0.08188661839794342,0.10166027786133691,0.08775019674655371,-0.9021899542760754,-0.9177108925591662,0.49500616611159365,2000,0.08
0.004720517568196914,-0.42642938817139053,-0.4845308323787599,0.01590738892708099,0.34292975023660965,0.21289188799640468,-0.6556624991035626,-0.7474984379622284,0.3613213377930292,20000,0.5
0.008185750160813798,-0.73846269320627,-0.7335410401740703,0.0033251062733861136,0.24006764372589162,0.06720639336937151,-0.7517321420662074,-0.8113794640953833,0.4192375291339242,20000,0.7
0.01087896034960667,-0.20042980110859987,-0.2189131316067946,0.04015468618307161,0.6645071723801801,0.6440193145023696,-0.27127634721800964,-0.45998569844753673,0.3137706389745211,20000,0.7
0.0019280644969730254,-0.019917649104984603,-0.14066917294759787,0.0033882575557007133,0.1398627674118207,0.1280397931126196,-0.9069428415331047,-0.8577343863968596,0.2748103665699576,50000,0.7
0.009382619331447684,-0.01801301456897728,-0.06542387199276763,0.00011104320828803083,0.430260580937598,0.43950684436387044,-0.8332377118582679,-0.9082719221146246,0.3380259510469802,100000,0.3
