error_00,error_01,error_02,error_03,error_04,error_05,error_06,error_07,mean_absolute_error,iterations,learning_rate,hidden_neurons
0.009740983217679688,-0.8923966518325244,-0.8895341486262364,0.0387637553004041,0.1120065356740918,0.0806948164343656,-0.8906775340155101,-0.9220454687373758,0.4794824867297735,5000,0.5,16
0.021364136578967963,-0.7859390588993752,-0.7834105416165742,0.03258195756602944,0.22433052546251397,0.12643278347674003,-0.8064700180077342,-0.8519207707123518,0.45405622404003587,5000,0.5,16
0.0005094892724808453,-0.5355268549223104,-0.6546966900965531,0.012471565387880301,0.4805191456164706,0.17966945696196934,-0.813369112742438,-0.9082911184982477,0.44813167918729374,5000,0.5,12
0.0006403310733597012,-0.23202804162160295,-0.2627109082891552,0.004972929465537401,0.5391656257815509,-0.5695408753609986,-0.38312778448299145,-0.5885191435865539,0.3225882049577188,5000,0.4,12
0.0007624882231631602,-0.3219029946557206,-0.31615024043475226,0.013115347467407057,0.6562952937770203,-0.5703665466246667,-0.35379371465005005,-0.8469728618581914,0.3849199359613715,5000,0.3,12
0.0025209698487314025,-0.20417242112023237,-0.19092568889000155,0.007894347340926311,0.7636962562346729,-0.44152896920780604,-0.23422494801022137,-0.6319914854117992,0.30961938575804887,5000,0.3,12
0.0029116966804457745,-0.3269483489042856,-0.3002606135182523,0.03233334673944033,0.5710937343528681,-0.5748676956655655,-0.3190464148781515,-0.8072066611154489,0.3668335639818073,5000,0.2,12
0.004066296485271015,-0.3511138427381972,-0.36634061097512494,0.025456477953008094,0.458540062494702,-0.5620472075552803,-0.47619395883452087,-0.7518460904845792,0.3744505684400855,5000,0.2,12
0.006932120225142779,-0.1262112146722482,-0.11991741514042903,0.057610652006161445,0.8667226768723454,-0.285113161654238,-0.15249095894813328,-0.6617204741251518,0.28458983420548123,5000,0.2,12
0.008515247758805411,-0.17439520373301393,-0.1799939951983907,0.03418082476055895,0.8313745192283306,-0.3777543540085142,-0.2420914180065518,-0.6300043282390803,0.3097887363666557,5000,0.2,12
0.0004253564106498908,-0.1996973275856607,-0.20795795269642084,0.004645843266894101,0.5935526325296872,-0.44725448002909723,-0.3088566736974366,-0.6378055385365161,0.3000244755940453,10000,0.2,12
0.0002634887593450097,-0.027258518703969132,-0.040450277863960306,0.0775155897513703,0.738180555827548,-0.10307183830753634,-0.16808806560836567,-0.4688918893521863,0.20296502802178515,10000,0.2,12
0.0011937823395175018,-0.07244346960831995,-0.1043266260590369,0.003625785182721941,0.7502153667278674,-0.14711167050805724,-0.3176913688470118,-0.43901954519251274,0.22945345180813068,10000,0.2,12
0.00013927096710053544,-0.08272383507582162,-0.13419170736953603,0.04126372175891424,0.6185673338157893,-0.16607264123912768,-0.3974201440085389,-0.4354263974119924,0.2344756314558526,10000,0.2,12
0.001974967628206481,-0.06971426335643797,-0.06652311558109798,0.014070497878245103,0.8932163234284854,-0.18652168674892328,-0.08018070535481275,-0.4853337469121573,0.22469191336104577,10000,0.2,12
0.00802032972985256,-0.2615234450824619,-0.26795970038576206,0.02675125713082782,0.6921257426080412,-0.45592969133543976,-0.3763948975376195,-0.6120551287185634,0.337595024066071,10000,0.1,12
0.0074232126257263165,-0.18818940166652237,-0.18432757730851232,0.03752691145978526,0.8045430335806234,-0.36239414771700834,-0.2258345249412952,-0.681732644811098,0.31149643176382136,10000,0.1,12
0.015818720912679995,-0.18428509351314645,-0.188028660175192,0.036770762310398886,0.6336170579247402,-0.3676875901159233,-0.28134427021490116,-0.490625643589857,0.27477222484460484,10000,0.1,12
0.0062606539572831466,-0.3096155125428455,-0.3106353437859027,0.06219623898208615,0.5706893592311609,-0.46652840173245286,-0.3572768775447024,-0.6844701341460188,0.34595906524030656,10000,0.1,12
0.01536372688823473,-0.1627674205253443,-0.1461206605738851,0.048627073664999854,0.7497518727112473,-0.36546994814080475,-0.17710268919826117,-0.5888521774255837,0.28175694614104513,10000,0.1,12
0.006598595736914348,-0.11649128915634256,-0.11874927383059017,0.02090974686275826,0.7688638084953586,-0.24285934837748344,-0.18494769009135176,-0.46022812563920673,0.23995598477375074,10000,0.18,12
0.00018278121352810484,-0.04996949154079921,-0.06996771525975588,0.05274723371795387,0.8566594174637432,-0.10711292175925403,-0.18467498450447653,-0.42133950263527764,0.21783175601184857,10000,0.18,12
0.003816105501224798,-0.19233444550220474,-0.21752598925151972,0.012000458035207329,0.7100877367675528,-0.3046859609290269,-0.32361137157726594,-0.6107824649529341,0.29685556656461703,10000,0.18,12
7.194644460195576e-05,-0.029835392543937116,-0.06239736666095575,0.023189054514755725,0.6828301567092798,-0.17576753139956142,-0.45277076418632123,-0.7558016998084179,0.27283298903347886,20000,0.15,12
1.7659536270420162e-05,-0.022858300629499954,-0.048052018395071935,0.035748082502347955,0.5020698585929733,-0.11905377458244529,-0.3525147321016815,-0.5475236061060222,0.20347975405578905,20000,0.15,12
2.245365598052551e-05,-0.05097566769943988,-0.12189186753162803,0.02165680760714861,0.40512160139726616,-0.10699801019533225,-0.5910971455243172,-0.6532459405888089,0.2438761867749902,20000,0.15,12
2.6791343887833108e-06,-0.033023676025407595,-0.06978711182369934,0.006110945500609755,0.45496753136970014,-0.15166532744912345,-0.5487538539768376,-0.7430190010965054,0.250916265797034,20000,0.15,12
2.6759640159190745e-05,-0.1254650693489056,-0.178868764091805,0.005266948562764995,0.5408033419372131,-0.1965822299144863,-0.39471774056327846,-0.4548623445808132,0.23707414982992825,20000,0.15,12
0.0001270442678842354,-0.018973920378136108,-0.036181274861276036,0.0026129912113013187,0.6766002167557175,-0.10418441814497648,-0.3522632565896536,-0.5435018246424839,0.21680561835642864,20000,0.15,12
4.882388129567872e-05,-0.014349881220043688,-0.03766861597822498,0.0035258275582054077,0.6897199149358726,-0.03754941224786604,-0.4309072786788957,-0.624423682746614,0.22977417965587726,20000,0.2,12
1.0709279676057726e-05,-0.02890431446658312,-0.05556973449717822,0.023334523174723065,0.42383943668716595,-0.15182555301007378,-0.3820789711475323,-0.6464631986254854,0.21400330511105223,20000,0.2,12
1.1378188067734385e-05,-0.0177735308646747,-0.058660084026387685,0.001021617242907391,0.49386458378291664,-0.04994451521660292,-0.6437455499281907,-0.6502597679100598,0.23941012839497594,20000,0.2,12
0.0004950920600781394,-0.2073840297391103,-0.2384921382301846,0.016429091383504346,0.4950097576172753,-0.3138074288294603,-0.3980937100982782,-0.6381756656836636,0.28848586420519434,20000,0.1,12
