error_00,error_01,error_10,error_11,mean_absolute_error,iterations,learning_rate
-0.40080457445540973,0.6006341921152729,0.6006401966000519,-0.3978070474516703,0.4999715026556012,1000,0.1
-0.3955601985582636,0.614697798055179,0.5988860982586957,-0.3900720356501671,0.4998040326305764,1000,0.2
-0.4427968876884558,0.5626401828302312,0.5662703886131468,-0.42871676339168896,0.5001060556308807,1000,0.2
-0.5149611034322582,0.3892378823605631,0.3659140551061256,-0.6488379266942179,0.4797377418982912,1000,0.3
-0.5675029299288243,0.29710986347279766,0.259143165054877,-0.7513532692114135,0.46877730691697816,1000,0.3
-0.5309310947495963,0.2930616583500093,0.2997266572545969,-0.7350562167556616,0.464693906777466,1000,0.4
-0.2989764062667053,0.37014704365770745,0.424292218085043,-0.6264575543855577,0.4299683055987534,1000,0.4
-0.4892758059751854,0.5076608978902375,0.4995677396235325,-0.5034002578847029,0.49997617534341454,1000,0.5
-0.3679280062475907,0.6086432242141464,0.6648505102367257,-0.35363857931533305,0.498765080003449,1000,0.5
-0.5033915397747765,0.49823958135827484,0.49560670538474516,-0.5029369364426136,0.5000436907401026,1000,0.6
-0.3253523145686155,0.36958069430542384,0.33801892196208605,-0.6838518873449668,0.429200954545273,1000,0.6
-0.43241817807258787,0.5641937906381944,0.5734548642485404,-0.4291942093434369,0.49981526057568987,1000,0.7
-0.3006019821075267,0.6862039821824097,0.6832150945474971,-0.3258116256186597,0.4989581711140233,1000,0.7
-0.5326597689800079,0.4629006334751613,0.47182539713845695,-0.5318275097312544,0.4998033273312201,1000,0.8
-0.5686885275342182,0.4362436125934429,0.44055228072732144,-0.5549323996509681,0.5001042051264877,1000,0.8
-0.6119682238463396,0.3888854223068924,0.3992816242573348,-0.5959515915508159,0.4990217154903457,1000,0.9
-0.5272499977405162,0.47661459381430826,0.47280209706253595,-0.5235368931297395,0.500050895436775,1000,0.9
-0.5333689987672038,0.33689986909106506,0.5261651366961697,-0.5205507026220108,0.4792461767941123,1000,1
-0.7136792496102493,0.27977059078988564,0.2793528788890399,-0.7241057847904651,0.49922712601991,1000,1
-0.6567805429131266,0.2881127887092366,0.3006280802412349,-0.7258428423861077,0.4928410635624264,1000,1.1
-0.3504816640098546,0.36742466072591373,0.7049971716843803,-0.34348210712459454,0.4415964008861858,1000,1.1
-0.3982166408787224,0.3790433386822638,0.6246662282602906,-0.4166816203885611,0.4546519570524595,1000,1.2
-0.5683053375193216,0.3021923700185677,0.30174592849797555,-0.7220944419982698,0.47358451950853364,1000,1.2
-0.5093843395483624,0.4635745164274073,0.46365496062064915,-0.5475947359148632,0.4960521381278205,1000,1.3
-0.11827136343229148,0.2641090648356801,0.3773224920717586,-0.647024264900673,0.35168179631010077,1000,1.3
-0.2648973481443826,0.7682474988186306,0.1829369012163623,-0.23905412034955476,0.3637839671322325,1000,1.5
-0.11630385301629713,0.16414071047537127,0.22927092317445308,-0.7752527858543209,0.3212420681301106,1000,1.5
-0.018097520239055035,0.6212208574284462,0.6230122746644962,-0.3909432053297734,0.41331846441544273,1000,1.75
-0.6625061850695635,0.05193113198540755,0.37560329803363735,-0.6497206371534785,0.4349403130605217,1000,1.75
-0.113412878870484,0.1292934467826724,0.2123778485695541,-0.39072330918599035,0.2114518708521752,1000,2
-0.06008124693314871,0.05071706978137114,0.04849627924561972,-0.06562269923845722,0.05622932379964919,1000,2
